dwc:stateProvince	dwc:countryCode	dwc:collectionID	dwc:decimalLongitude	dwc:recordedBy	idigbio:uuid	dwc:month	commonname	dwc:collectionCode	dwc:day	taxonid	dwc:decimalLatitude	dwc:occurrenceID	dwc:basisOfRecord	dwc:institutionID	dwc:institutionCode	dwc:year	dwc:scientificName	dwc:continent	dwc:catalogNumber
MICHOACAN DE OCAMPO	MX	256	-101.9833333	S. Zamudio R.	02b23937-8dfb-4590-bc75-a9291ba5e60c	8		IEB	15	3752543	19.6316667	urn:catalog:INECOL:IEB:108899:291985597518c27754ca026da2de3535	PreservedSpecimen	1913	INECOL	1987	Heuchera hemsleyana	north america	108899
DURANGO	MX	251	-105.9416667	O. Bravo	3cb7c49f-9b5b-41ec-b306-93cf5f38b19f	10		CIIDIR	4	3752543	24.9083333	urn:catalog:CIIDIR-IPN:CIIDIR:NO DISPONIBLE:15ecfed6caa0444a91e7fec9ca547316	PreservedSpecimen	71	CIIDIR-IPN	1990	Heuchera hemsleyana	north america	NO DISPONIBLE
MICHOACAN DE OCAMPO	MX	256	-102.0166667	S. Zamudio R.	16f3051d-4653-4e47-8028-040cff65c86f	5		IEB	8	3752543	19.6983333	urn:catalog:INECOL:IEB:108900:fec31d42900052b722cf10c46a0da827	PreservedSpecimen	1913	INECOL	1987	Heuchera hemsleyana	north america	108900
MICHOACAN DE OCAMPO	MX	546	-101.6941667	J. Santos Martínez	06b6919b-97d9-4b2d-abd0-366d2fc9d8cc	3		ENCB	8	3752543	19.8363889	urn:catalog:ENCB-IPN:ENCB:NO DISPONIBLE:2af756398291d2a0934913613e4bc583	PreservedSpecimen	2028	ENCB-IPN	1986	Heuchera hemsleyana	north america	NO DISPONIBLE
MICHOACAN DE OCAMPO	MX	168	-100.8072222	J. Santos M.	0b98f1a4-7a87-4034-a0fb-de3554b12107	3		CHAP	8	3752543	19.84	urn:catalog:UACh:CHAP:16274:55a4716608706a2900aae56aef971f00	PreservedSpecimen	316	UACh	1986	Heuchera hemsleyana	north america	16274
DURANGO	MX	256	-105.61	O. Bravo B.	e9850d73-f9a9-49fa-877f-d231329868ff	10		IEB	4	3752543	25.7583333	urn:catalog:INECOL:IEB:108902:d25b8899e48df7f87d9948e544028f08	PreservedSpecimen	1913	INECOL	1990	Heuchera hemsleyana	north america	108902
MICHOACAN DE OCAMPO	MX	256	-100.74	S. Zamudio R.	26afa4bb-4012-4b4f-97fc-4230a3cc4313	7		IEB	27	3752543	19.6816667	urn:catalog:INECOL:IEB:108897:f304e9adaf6f201f65bc65a4d5f77022	PreservedSpecimen	1913	INECOL	1986	Heuchera hemsleyana	north america	108897
Morelos	MX			C. G. Pringle	f0a3ef25-054e-4565-8d8b-41f9f274832b			VascularPlants		3752543		S:VascularPlants:S14-31158	preservedspecimen	urn:lsid:biocol.org:col:15668	S		Heuchera hemsleyana Rosend., Butters & Lakela	North America	S14-31158
Morelos	MX			C. G. Pringle	f944b4cc-2afb-4d71-9fee-7a252e00e853			VascularPlants		3752543		S:VascularPlants:S14-31155	preservedspecimen	urn:lsid:biocol.org:col:15668	S		Heuchera hemsleyana Rosend., Butters & Lakela	North America	S14-31155
Morelos		a3883acd-bc7d-40f2-a6e4-372a3435e5d1		Pringle, C.G.	7a66f9ee-12cf-4a3a-b041-9ef08a6c638d	2			5	3752543		DF51E7EE-B027-4121-9CCC-B1BE8B512E71	PreservedSpecimen		CM	1899	Heuchera hemsleyana	north america	CM224141
Morelos		http://biocol.org/urn:lsid:biocol.org:col:15556	0	C. G. Pringle	141f56fe-7de8-476b-84b0-fecfb6bc08b3	11		NY	27	3752543	0	d4376f98-3c84-4aef-9eb6-8a71bcd75112	PreservedSpecimen	http://biocol.org/urn:lsid:biocol.org:col:15556	NY	1902	Heuchera hemsleyana Rosend., Butters & Lakela	North America	02497214
Morelos		8f1d56aa-02cb-422d-9259-f2fba3efeea3		Cyrus G. Pringle	81f92411-5c04-470f-a114-e98f395f6d9e	2		RSA-POM	5	3752543		83f809d5-2365-4735-9a6a-5f59e9141122	PreservedSpecimen		POM	1899	Heuchera hemsleyana	north america	RSA0076260
